Participant ID,TreatmentPeopleProximity,TreatmentNoiseLevel,TreatmentDelay,TreatmentIsolation,TreatmentAnxiety,TreatmentRealLifeLikelihood
U0667,Neither,Somewhat quiet,Somewhat Low,Very Low,Very Low,Very Likely
83U14,Somewhat far,Very loud,Very High,Very High,Somewhat High,Very Unlikely
LEYWK,Neither,Neither,Somewhat Low,Very Low,Very Low,Likely
7H5IH,Somewhat far,Neither,Neither,Somewhat Low,Somewhat High,Likely
UET9E,Somewhat far,Somewhat loud,Somewhat High,Somewhat High,Neither,Very Likely
2UXUJ,Neither,Neither,Very Low,Very Low,Somewhat Low,Likely
ERGPL,Somewhat close,Somewhat loud,Somewhat Low,Very Low,Somewhat Low,Unlikely
DXUBI,Neither,Somewhat quiet,Somewhat Low,Neither,Somewhat Low,Likely
8BM2Y,Neither,Somewhat quiet,Very Low,Very Low,Very Low,Likely
FXV3D,Somewhat close,Neither,Very Low,Very Low,Very Low,Likely
HQEDB,Somewhat close,Neither,Very Low,Very Low,Very Low,Unlikely
8O8VB,Somewhat far,Neither,Very Low,Somewhat Low,Very Low,Very Unlikely
CHWKI,Somewhat far,Somewhat quiet,Somewhat High,Somewhat Low,Neither,Unlikely
0P9C0,Neither,Neither,Very High,Very High,Very Low,Very Unlikely
T6MS9,Neither,Neither,Somewhat High,Neither,Neither,Neither
2628E,Somewhat close,Somewhat loud,Very Low,Very Low,Very Low,Very Unlikely
AQQPS,Somewhat close,Neither,Somewhat High,Somewhat High,Very Low,Unlikely
3736C,Somewhat close,Neither,Somewhat High,Very Low,Somewhat Low,Very Unlikely
XB4P5,Somewhat far,Somewhat loud,Very Low,Somewhat Low,Somewhat Low,Likely
0YJK3,Neither,Somewhat quiet,Somewhat Low,Somewhat Low,Neither,Neither
PSSK3,Somewhat close,Somewhat quiet,Somewhat Low,Very Low,Very Low,Likely
QM19L,Neither,Neither,Somewhat Low,Neither,Neither,Likely
WLWQR,Somewhat far,Somewhat loud,Somewhat Low,Very Low,Very Low,Very Likely
PJ9ZH,Neither,Somewhat quiet,Very High,Very High,Very High,Unlikely
KVYRQ,Neither,Neither,Somewhat High,Somewhat High,Very Low,Very Likely
2KVXD,Neither,Somewhat quiet,Somewhat High,Somewhat High,Somewhat High,Very Unlikely
RAE2N,Somewhat close,Somewhat loud,Neither,Neither,Somewhat Low,Neither
NN4EB,Neither,Somewhat quiet,Somewhat High,Very Low,Very Low,Very Unlikely
U0Q9S,Very far,Neither,Very Low,Very Low,Very Low,Very Unlikely
N6L3T,Neither,Somewhat quiet,Very Low,Very Low,Somewhat Low,Likely
CXTJX,Neither,Somewhat loud,Neither,Very Low,Neither,Very Likely
NS9D9,Somewhat far,Somewhat quiet,Somewhat High,Neither,Somewhat High,Unlikely
DY7B2,Neither,Neither,Somewhat High,Neither,Somewhat Low,Neither
GA4G5,Somewhat far,Very loud,Somewhat Low,Somewhat Low,Very Low,Likely
