Participant ID,TreatmentPeopleProximity,TreatmentNoiseLevel,TreatmentDelay,TreatmentIsolation,TreatmentAnxiety,TreatmentRealLifeLikelihood
U0667,Neither,Neither,Somewhat Low,Very Low,Very Low,Very Likely
83U14,Somewhat close,Very loud,Somewhat High,Somewhat High,Neither,Neither
LEYWK,Neither,Somewhat quiet,Very Low,Very Low,Very Low,Likely
7H5IH,Very far,Somewhat quiet,Somewhat Low,Very Low,Somewhat Low,Likely
UET9E,Somewhat far,Somewhat quiet,Somewhat High,Somewhat High,Somewhat High,Very Unlikely
2UXUJ,Neither,Neither,Very Low,Very Low,Very Low,Likely
ERGPL,Somewhat close,Somewhat loud,Somewhat Low,Very Low,Somewhat Low,Unlikely
DXUBI,Neither,Very quiet,Very Low,Somewhat Low,Somewhat Low,Very Unlikely
8BM2Y,Neither,Somewhat quiet,Very Low,Very Low,Very Low,Very Likely
FXV3D,Very Close,Neither,Very Low,Very Low,Very Low,Likely
HQEDB,Somewhat close,Neither,Very Low,Very Low,Very Low,Likely
8O8VB,Neither,Neither,Somewhat Low,Somewhat High,Very Low,Very Unlikely
CHWKI,Somewhat far,Somewhat quiet,Somewhat Low,Very Low,Somewhat Low,Unlikely
0P9C0,Somewhat far,Somewhat quiet,Very High,Neither,Very Low,Very Likely
T6MS9,Neither,Somewhat quiet,Neither,Somewhat Low,Somewhat Low,Likely
2628E,Somewhat far,Somewhat quiet,Very Low,Very Low,Very Low,Neither
AQQPS,Somewhat close,Neither,Somewhat High,Somewhat High,Very Low,Unlikely
3736C,Somewhat close,Neither,Very Low,Neither,Somewhat High,Very Unlikely
XB4P5,Somewhat far,Somewhat quiet,Very Low,Somewhat High,Somewhat High,Unlikely
0YJK3,Neither,Neither,Very Low,Very Low,Very Low,Likely
PSSK3,Neither,Somewhat quiet,Very Low,Very Low,Very Low,Neither
QM19L,Neither,Somewhat quiet,Neither,Very Low,Very Low,Unlikely
WLWQR,Somewhat far,Somewhat loud,Somewhat High,Very Low,Somewhat Low,Very Likely
PJ9ZH,Neither,Somewhat quiet,Very High,Somewhat High,Very High,Unlikely
KVYRQ,Neither,Neither,Somewhat High,Somewhat High,Very Low,Very Likely
2KVXD,Neither,Neither,Very High,Very High,Very High,Very Unlikely
RAE2N,Somewhat far,Somewhat quiet,Somewhat Low,Somewhat Low,Very Low,Likely
NN4EB,Neither,Somewhat quiet,Somewhat Low,Very Low,Very Low,Unlikely
U0Q9S,Neither,Neither,Very Low,Very Low,Very Low,Neither
N6L3T,Neither,Neither,Very Low,Somewhat Low,Somewhat Low,Likely
CXTJX,Somewhat far,Somewhat quiet,Somewhat Low,Neither,Neither,Likely
NS9D9,Neither,Neither,Somewhat Low,Somewhat High,Somewhat High,Unlikely
DY7B2,Neither,Neither,Somewhat High,Somewhat High,Somewhat Low,Unlikely
GA4G5,Somewhat far,Neither,Very Low,Very Low,Very Low,Very Likely
ZHF7X,Neither,Somewhat quiet,Very Low,Very Low,Very Low,Likely
